PL_Index,nu_syn,LP_Index,Pivot_Energy,Frac_Variability,Variability_Index,nuFnu_syn,CLASS
2.2716956,100000000000000.0,2.2540812,2420.5752,0.67588246,25.313953,3.716456e-13,BCU
2.1166923,91201080000000.0,2.0789266,1721.6039,0.40656525,46.780693,1.9367698e-12,BLL
1.9391596,3609939100000.0,1.6612232,4307.0825,0.0,9.272764,2.4732557e-13,BLL
2.65406,158489330000000.0,2.5141594,329.77374,0.9961379,1910.9358,1.152471e-12,FSRQ
1.8766632,16595879000000.0,1.7166204,4429.934,0.90285075,24.557972,9.716011e-13,BCU
1.8477732,0.0,1.593436,3140.7434,0.17425367,12.5307255,0.0,BLL
2.0920746,75857754000000.0,2.0607266,3399.5938,0.09686208,13.0142145,3.9934568e-13,BCU
1.9144565,0.0,1.535265,4073.996,0.5716937,17.68631,0.0,BCU
1.9155122,0.0,1.8593991,3392.6858,0.0,7.9984255,0.0,BCU
2.28195,22908676000000.0,2.1029518,1021.7992,0.5918794,49.879936,6.41471e-13,BCU
2.2172673,3447469000000.0,1.9643838,2149.7136,0.0,10.951773,1.0655283e-12,BCU
2.1779604,2454708800000.0,2.0099006,1362.5696,0.0,7.3579965,8.173593e-13,BLL
2.002625,301995160000000.0,1.5944289,2901.4053,0.35787228,15.3058,2.5930565e-13,BLL
2.5879583,2570395800000.0,2.490068,683.0358,1.0162235,139.03676,2.294431e-13,FSRQ
2.4382217,13182567000000.0,2.393472,848.0162,0.82349813,153.28648,2.52002e-12,FSRQ
2.6222498,13182567000000.0,2.5237925,495.8548,0.36480123,41.211475,7.2600064e-12,FSRQ
2.1502833,8317638000000.0,2.1237488,2238.374,0.4856095,23.379368,8.180352e-12,BLL
2.0807567,229086760000000.0,1.7125118,2320.7866,0.0,4.8810477,2.2438819e-13,BLL
2.4835656,2077304300000.0,2.4229586,994.70245,0.0,11.135396,4.1813932e-13,BLL
2.1395662,0.0,1.9320873,1652.091,0.51003826,35.662487,0.0,BCU
2.0533266,33496544000000.0,1.9260442,1333.5521,0.0,5.7724886,1.2983028e-12,BLL
1.7175813,0.0,1.4628757,4584.337,0.0,12.519338,0.0,BLL
2.0788698,0.0,1.9379028,1593.1621,0.65726656,51.85556,0.0,BCU
2.1497757,24547089000000.0,2.1215103,1643.1923,0.1701378,14.957571,1.7127541e-12,BLL
1.9903688,1258925400000000.0,1.8838742,1379.1864,0.40872404,204.73532,1.1958948e-12,BLL
2.1706803,0.0,2.1687417,1693.8844,0.19140024,13.812,0.0,BLL
2.0345724,1.566751e+16,1.51148,3366.887,0.0,11.894109,5.457126e-13,BCU
2.3900635,3630780600000.0,2.3289845,1318.4822,0.82655686,30.502176,3.6381366e-13,FSRQ
2.4249508,9660509000000.0,2.2681289,606.61017,0.8408478,168.7764,6.701654e-13,FSRQ
2.3785787,0.0,2.3885586,1205.2603,0.06835933,11.98323,0.0,BCU
2.5006473,660693500000000.0,2.4800832,1013.24194,0.0,7.678005,2.963712e-13,BCU
2.353539,6918310000000.0,2.2449186,757.1697,0.9843933,231.06699,8.5560633e-13,FSRQ
1.9424331,0.0,1.8673143,4122.475,0.7701824,24.585592,0.0,BCU
2.2591548,3162277700000.0,2.1887255,1856.102,1.2553804,59.59149,4.956339e-13,FSRQ
2.0539155,7244359400000.0,1.897792,1488.8416,0.29586396,24.301222,9.466142e-13,BLL
1.9560379,2.0653802e+16,2.018278,5697.543,0.32545438,18.240509,2.0941415e-12,BCU
1.9337118,8.709636e+16,1.9128351,3038.3286,0.0,8.941787,5.1275984e-12,BLL
2.3846972,46773515000000.0,2.2974215,1171.6648,0.8344805,47.450222,1.8653358e-12,BLL
2.1108487,4.570882e+17,2.1057856,2206.9182,0.16137516,11.309005,2.5924774e-12,BLL
2.373674,10964782000000.0,2.3620024,1642.3925,0.3875091,24.513874,3.9731594e-13,BCU
2.5560217,10000000000000.0,2.4529133,568.5769,0.5126944,42.14543,7.765242e-13,BCU
2.020398,275422860000000.0,2.0326061,4917.393,0.0,14.718567,5.252354e-13,BLL
2.1373396,0.0,2.145758,2290.9126,0.19712903,14.983067,0.0,BLL
2.7242568,2570395800000.0,2.6355696,440.32785,0.5474806,101.33365,6.770348e-13,FSRQ
2.265173,63826347000000.0,2.2327504,1300.6196,0.39170718,40.29398,1.2557206e-12,BCU
2.5351584,8491804700000.0,2.5720809,894.58203,0.9674734,277.9689,2.6072339e-12,FSRQ
2.2466593,158489330000000.0,2.173127,1545.2228,0.22008005,12.494833,1.4410665e-12,BLL
1.7317922,0.0,1.6288027,5291.048,0.058889806,11.574172,0.0,BLL
2.794101,20892946000000.0,2.5621738,428.1747,0.57802415,27.890223,9.415145e-12,FSRQ
2.2685406,2786121200000.0,2.24366,1376.2836,1.0706934,109.07163,3.3147898e-13,BCU
2.0928946,754223400000000.0,2.0849953,2147.1074,0.28919077,27.177048,4.5752625e-12,BLL
2.609616,2089296100000.0,2.6461496,1388.4132,1.2626213,428.9323,1.1932048e-12,FSRQ
2.1827435,2290867800000.0,2.1545336,1738.3303,0.2808846,16.716976,1.1767088e-12,BLL
1.9083709,0.0,1.7370398,4052.2424,0.6074746,24.845884,0.0,BLL
2.1197062,412097500000000.0,2.0350888,935.7596,0.28834793,34.189217,1.4973454e-12,BLL
2.2072017,0.0,2.069937,1838.561,0.45691302,17.615793,0.0,BLL
2.0147567,660693500000000.0,1.9763952,1832.1001,0.2602695,29.640602,2.0923003e-12,BLL
1.5898169,1.3489629e+17,1.6291296,11804.877,0.0,12.256892,7.7725944e-13,BLL
1.9504867,66069344000000.0,1.8035328,1451.1199,0.12170427,17.099775,1.8071991e-12,BLL
2.150342,13963683000000.0,2.0767956,804.09937,0.45973346,218.54457,2.7138135e-12,BLL
2.827933,22646444000000.0,2.7388694,347.32172,0.39624077,41.90163,5.6963804e-12,FSRQ
2.1028962,57543993000000.0,1.9982151,2172.659,0.0,10.850666,7.6088143e-13,BLL
2.767957,0.0,2.7713895,650.3652,0.60275215,31.768759,0.0,BCU
2.4684598,0.0,2.4556198,1146.8251,1.9864906,105.34175,0.0,FSRQ
2.3954978,94406090000000.0,2.3873777,1708.6685,0.0,13.625898,3.8060283e-13,FSRQ
2.265428,19054608000000.0,1.9286892,1465.8838,1.2823898,96.9369,8.276315e-13,BCU
1.9854406,0.0,1.9941013,2762.6875,0.47775307,21.299532,0.0,BLL
2.2213824,2570394800000.0,2.0915904,645.1572,2.0663962,5813.5693,6.5810015e-13,FSRQ
2.1726487,100000000000000.0,2.192873,3415.799,0.23988026,16.563648,8.652747e-13,BLL
2.3068705,20892960000000.0,2.3006523,1364.9542,0.5186039,58.97206,3.0448016e-12,BLL
1.7444988,4786301000000000.0,1.4561627,6446.284,0.0,11.580673,4.7589596e-13,BCU
1.7859209,3548134000000000.0,1.5146242,3050.8892,0.7573207,40.59725,2.123792e-12,BLL
2.485549,10115794000000.0,2.447011,583.83954,0.37055287,138.98315,1.70388e-12,FSRQ
2.3880467,3630780600000.0,2.2964163,640.09753,0.86677736,821.95544,5.3014906e-13,FSRQ
1.9445581,749894200000000.0,1.8599973,3569.1567,0.31832558,15.970873,8.9040586e-13,BLL
2.2502794,0.0,2.100499,1021.2644,1.4966433,308.65665,0.0,BCU
2.3315094,43651580000000.0,2.2491806,1183.4574,0.60683495,21.886372,2.4324392e-12,BLL
1.6934592,8317639000000000.0,1.4650178,7187.0786,0.0,13.090327,8.32191e-13,BCU
1.6979182,0.0,1.6652689,7460.8013,0.0,7.806382,0.0,BLL
1.7474272,7079458000000000.0,1.5974872,1664.881,0.2741329,92.86173,8.082524e-12,BLL
2.2903154,9332543000000.0,2.0448852,1130.3862,0.68494487,33.331326,2.153818e-13,BCU
2.6248245,9332543000000.0,2.6248665,898.74066,0.74232674,39.682926,7.5090157e-13,BCU
2.5204248,446683580000000.0,2.3827949,831.2864,0.0,8.399244,1.0152009e-12,BCU
